animal_id,species,breed,age_years,sex,weight_kg,activity_level,diet_type,daily_calories,protein_percent,fat_percent,previous_diseases,region,avg_temperature_c,humidity_percent,rainfall_mm,air_quality_index,local_outbreak_risk_index,symptoms_current,predicted_disease,prediction_date,vet_recommended_action
1,Dog,Beagle,2.4,M,27.6,Medium,Homemade Cooked,1976.0,32.3,13.9,None,"Tamil Nadu, India",30.0,78.9,149.4,81.8,0.28,None,None,2025-10-13,Routine Checkup
2,Rabbit,Netherland Dwarf,11.3,F,3.0,Low,Homemade Cooked,2181.0,27.9,19.1,Arthritis,"Delhi, India",17.7,60.0,41.9,211.1,0.5,None,None,2025-09-28,Routine Checkup
3,Cat,British Shorthair,0.9,M,2.7,Medium,Commercial Kibble,1526.0,27.2,12.8,None,"Maharashtra, India",25.4,61.0,226.8,63.3,0.33,None,None,2025-10-23,Routine Checkup
4,Dog,German Shepherd,3.3,F,33.9,High,Mixed Diet,1820.0,22.5,10.9,Feline Upper Resp Infection,"Gujarat, India",35.6,32.3,14.1,70.4,0.28,Vomiting,Parvovirus,2025-09-29,Provide joint supplements
5,Cat,Siamese,12.9,F,8.8,Low,Homemade Cooked,1098.0,24.0,12.6,None,"Kerala, India",25.0,78.0,153.0,57.9,0.41,Vomiting,Feline Upper Resp Infection,2025-10-03,Administer antibiotics
6,Rabbit,Netherland Dwarf,2.8,M,10.6,Medium,Raw + Veg Mix,709.0,20.3,16.4,Arthritis,"Gujarat, India",23.6,48.3,130.0,98.2,0.43,None,None,2025-10-07,Routine Checkup
7,Rabbit,Holland Lop,12.6,M,5.9,Medium,Commercial Kibble,966.0,26.6,12.2,Arthritis,"Delhi, India",24.5,49.5,56.9,293.6,0.46,Sneezing,None,2025-10-20,Routine Checkup
8,Cat,British Shorthair,4.5,F,10.8,Medium,Raw + Veg Mix,826.0,21.1,15.4,Feline Upper Resp Infection,"Delhi, India",20.7,59.3,64.5,289.5,0.42,None,None,2025-10-02,Routine Checkup
9,Bird,Parakeet,13.5,M,11.4,Medium,Mixed Diet,1812.0,20.5,16.0,Respiratory Infection,"Maharashtra, India",24.9,43.7,120.5,117.5,0.41,Sneezing,None,2025-10-18,Routine Checkup
10,Hamster,Roborovski,1.0,M,6.8,Low,Commercial Kibble,1334.0,31.3,19.7,None,"Tamil Nadu, India",33.7,78.6,163.2,80.2,0.43,None,None,2025-09-25,Routine Checkup
11,Cat,Maine Coon,11.2,M,11.6,Low,Mixed Diet,1630.0,20.9,11.7,Arthritis,"Tamil Nadu, India",34.4,71.7,132.7,65.5,0.42,Limping,Parvovirus,2025-09-23,Administer antibiotics
12,Hamster,Syrian,12.1,M,4.4,Medium,Raw + Veg Mix,652.0,28.1,12.8,Feline Upper Resp Infection,"Tamil Nadu, India",30.1,79.7,126.1,73.7,0.24,Vomiting,Feline Upper Resp Infection,2025-09-27,Hydration therapy
13,Cat,Maine Coon,11.8,F,7.0,High,Mixed Diet,1988.0,25.8,12.4,None,"Kerala, India",25.8,74.4,151.5,52.4,0.34,Sneezing,None,2025-10-20,Routine Checkup
14,Bird,Canary,10.9,F,4.8,Medium,Homemade Cooked,383.0,24.9,16.9,Feline Upper Resp Infection,"Maharashtra, India",31.4,54.8,128.1,93.6,0.33,None,None,2025-10-03,Routine Checkup
15,Bird,Parakeet,7.9,M,5.1,Medium,Raw + Veg Mix,629.0,27.1,12.5,None,"Tamil Nadu, India",25.5,70.4,167.7,68.4,0.2,None,None,2025-10-22,Routine Checkup
16,Hamster,Roborovski,10.0,F,5.5,Medium,Raw + Veg Mix,1225.0,25.6,12.4,None,"Maharashtra, India",33.1,62.0,63.5,100.3,0.39,Limping,Skin Allergy,2025-09-23,Provide joint supplements
17,Rabbit,Netherland Dwarf,1.6,M,5.1,Medium,Raw + Veg Mix,440.0,27.2,14.2,Ear Infection,"Maharashtra, India",33.4,66.3,95.8,76.2,0.43,Loss of Appetite,None,2025-10-15,Routine Checkup
18,Bird,Parakeet,11.6,F,2.6,High,Raw + Veg Mix,973.0,20.7,11.5,Parvovirus,"Maharashtra, India",27.6,55.7,240.8,60.7,0.21,None,None,2025-10-23,Routine Checkup
19,Cat,Bengal,11.6,F,3.4,High,Raw + Veg Mix,1116.0,33.1,18.1,None,"Kerala, India",27.2,73.1,357.5,55.5,0.42,None,None,2025-10-01,Routine Checkup
20,Bird,Cockatiel,0.7,M,6.6,Low,Homemade Cooked,1978.0,33.3,14.0,Skin Allergy,"Maharashtra, India",24.3,44.9,53.8,114.4,0.35,None,None,2025-10-14,Routine Checkup
21,Dog,Labrador,8.0,F,4.6,Medium,Raw + Veg Mix,782.0,21.8,19.8,None,"Delhi, India",15.4,30.7,46.3,157.5,0.28,Watery Eyes,Feline Upper Resp Infection,2025-10-20,Administer antibiotics
22,Bird,Parakeet,11.3,F,11.6,Low,Mixed Diet,1532.0,30.1,19.6,Feline Upper Resp Infection,"Gujarat, India",26.6,34.7,85.3,143.0,0.29,Limping,None,2025-10-01,Routine Checkup
23,Hamster,Roborovski,6.8,F,4.5,Low,Raw + Veg Mix,685.0,20.8,14.0,Ear Infection,"Tamil Nadu, India",25.5,61.4,91.5,49.9,0.21,None,None,2025-10-06,Routine Checkup
24,Hamster,Syrian,0.8,F,4.0,Medium,Homemade Cooked,1826.0,24.4,19.9,None,"Gujarat, India",36.5,47.0,97.2,112.4,0.23,Sneezing,None,2025-10-14,Routine Checkup
25,Hamster,Roborovski,5.1,M,9.5,Low,Homemade Cooked,1432.0,26.2,17.5,None,"Delhi, India",16.3,54.7,18.8,344.9,0.58,Vomiting,None,2025-10-23,Routine Checkup
26,Bird,Parakeet,0.6,F,11.2,Medium,Raw + Veg Mix,1282.0,31.1,10.4,Ear Infection,"Kerala, India",26.8,72.9,397.5,52.3,0.27,Watery Eyes,Arthritis,2025-10-23,Provide joint supplements
27,Rabbit,Netherland Dwarf,1.4,F,4.2,Medium,Raw + Veg Mix,1387.0,24.2,19.5,None,"Gujarat, India",27.3,43.9,53.2,112.4,0.33,None,None,2025-10-02,Routine Checkup
